CELL_ID,flow_sum,user_sum,flow_sumsq,user_sumsq,flow_count,user_count,flow_max,user_max,silent_count,record_count,activity_sum,activity_count,par_sum,par_count,LATITUDE,LONGITUDE,TYPE,SCENE,flow_mean,user_mean,flow_var,user_var,flow_std,user_std,flow_cv,user_cv,flow_per_user,peak_ratio,silent_ratio,activity_mean,par_mean
38985,6214409.5,5269984.5,35373138000.0,25785844000.0,1440.0,1440.0,18890.45,7755.0,0.0,1440.0,174.88571,1440.0,3051.3882,1440.0,392.01382,219.78117,1.0,1.0,4315.562152777778,3659.711458333333,5940602.416623145,4513347.95285482,2437.335105524709,2124.46415664158,0.5647781260561573,0.5805004522430521,1.1792083,4.3772858668229055,0.0,0.1214484108818901,2.1190195719401044
25913,5345355.5,5174638.0,31598940000.0,25923391000.0,1440.0,1440.0,16443.78,9630.0,0.0,1440.0,170.57433,1440.0,3858.969,1440.0,391.96588,219.80023,1.0,2.0,3712.052430555556,3593.498611111111,8164375.197251037,5089122.931942515,2857.337081488818,2255.9084493707883,0.7697458845055111,0.627774960701393,1.0329912,4.429834870197127,0.0,0.1184543927510579,2.679839579264323
40621,5744349.5,5015030.5,33122372000.0,24194103000.0,1440.0,1440.0,13473.93,8456.0,0.0,1440.0,166.1681,1440.0,3496.3618,1440.0,392.01105,219.74599,1.0,15.0,3989.1315972222224,3482.6600694444446,7088476.033376616,4672539.462919438,2662.4192069200176,2161.6057602901224,0.6674182443050907,0.6206766429073115,1.1454266,3.3776598638366275,0.0,0.1153945181104871,2.428029039171007
40537,5137883.0,4917983.5,26334216000.0,21797808000.0,1440.0,1440.0,18629.72,6828.0,0.0,1440.0,162.2015,1440.0,2878.9321,1440.0,392.00647,219.77422,1.0,1.0,3567.9743055555555,3415.2663194444444,5557209.488228684,3473322.7228239533,2357.373429948824,1863.6852531540708,0.6607035892265952,0.5456925108719584,1.0447134,5.221371878748504,0.0,0.1126399358113606,1.9992584228515624
40277,3134079.8,4852500.5,9432014000.0,24381442000.0,1440.0,1440.0,7743.41,10315.0,0.0,1440.0,157.1071,1440.0,4407.8687,1440.0,391.97574,219.76727,1.0,5.0,2176.444270833333,3369.792013888889,1813099.9359567603,5576058.760908445,1346.5139939698956,2361.367985068918,0.6186760727185229,0.7007459140909399,0.645869,3.5578260652110085,0.0,0.1091021537780761,3.061019897460937
46863,5416035.0,4811081.0,25912087000.0,20592116000.0,1440.0,1440.0,12103.24,7903.0,0.0,1440.0,159.26683,1440.0,3406.2324,1440.0,391.98334,219.78925,2.0,1.0,3761.1354166666665,3341.0284722222223,3848364.910828997,3137609.103355998,1961.7249834849424,1771.3297556796133,0.5215778657668049,0.5301749956358338,1.1257418,3.217975130792176,0.0,0.1106019655863444,2.365439181857639
41785,6610097.0,4737714.5,43411060000.0,18162740000.0,1440.0,1440.0,14931.21,6420.0,0.0,1440.0,158.77393,1440.0,2809.9019,1440.0,391.9392,219.78473,1.0,6.0,4590.345138888889,3290.079513888889,9075300.039212484,1788390.1256219875,3012.523865334926,1337.3070423885413,0.6562739345704448,0.4064664810510425,1.395208,3.252742334000545,0.0,0.1102596706814236,1.9513207329644096
62103,3922743.2,4588355.0,16841736000.0,20328767000.0,1440.0,1440.0,9235.47,7976.0,0.0,1440.0,150.00954,1440.0,3604.5671,1440.0,392.01102,219.75352,1.0,2.0,2724.1272569444445,3186.3576388888887,4274780.821305669,3964324.641538872,2067.5543091550626,1991.061184780335,0.7589786064084847,0.6248705922021471,0.8549346,3.39024900654663,0.0,0.104173289404975,2.503171624077691
63231,4432165.0,4555714.5,18179869000.0,19125602000.0,1440.0,1440.0,10614.22,8373.0,0.0,1440.0,149.75719,1440.0,3811.093,1440.0,391.97366,219.72108,1.0,6.0,3077.8923611111118,3163.690625,3151487.413413869,3272729.8959537763,1775.2429167338958,1809.0687924879408,0.5767722546648895,0.5718222819236444,0.9728803,3.448535062717656,0.0,0.1039980464511447,2.6465923733181422
51558,2825563.8,4436992.0,8276756000.0,17986552000.0,1440.0,1440.0,9165.21,6553.0,0.0,1440.0,143.59349,1440.0,3062.503,1440.0,391.99237,219.72812,1.0,5.0,1962.197048611111,3081.2444444444445,1897529.9424218447,2996593.6513580238,1377.5085997632991,1731.0672001277198,0.7020235815451521,0.5618078121808461,0.63681966,4.670891726916443,0.0,0.0997177018059624,2.1267381456163195
