CELL_ID,flow_mean,user_mean,flow_cv,peak_ratio,silent_ratio,flow_per_user,score
3772,59.04160698784722,17.235276963975693,8.059841099864109,237.90222860471383,0.1145833333333333,3.4256256,-0.14825883970420317
37767,179.62506510416668,41.194775390625,5.4267320533623336,96.87339912672554,0.1409722222222222,4.3603845,-0.13185712120854043
14364,263.55963541666665,30.11367458767361,4.776673145950267,62.2464451534431,0.2381944444444444,8.752158,-0.12000851870258111
64829,138.18818359375,21.73320448133681,4.186971835302424,85.80914273518829,0.1194444444444444,6.35839,-0.11873040503977161
30021,330.1451171875,48.85818684895833,3.432756076876713,66.69088463110742,0.2611111111111111,6.7572117,-0.11186167425179139
22230,308.61206597222224,22.655687120225693,4.566209616571852,45.88764351820468,0.1125,13.621837,-0.11180686099681125
55993,180.19545355902775,25.16571451822917,3.031844455259753,73.35118363770339,0.3319444444444444,7.160355,-0.11084524757157121
51768,49.20501844618055,12.361915418836803,4.303312902719202,57.272615408906525,0.1201388888888888,3.9803717,-0.11044506882767591
52208,18.855753580729168,8.820893690321181,5.989328319365108,38.39957466459789,0.2548611111111111,2.137624,-0.10984795179311369
45957,29.42722710503472,16.948084852430554,5.544731362134833,32.20124615910339,0.8534722222222222,1.7363157,-0.10609560891685843
23360,31.976877170138888,12.724020724826389,5.385164990156278,30.00000063624262,0.7298611111111111,2.513111,-0.10524964186701413
24630,537.4275173611111,59.31150173611111,4.137511810549054,40.476602949525656,0.1666666666666666,9.061101,-0.10230196328804719
64828,233.09516059027777,44.29476453993056,3.936212079988422,55.36618525699363,0.1416666666666666,5.262364,-0.10175003328459908
35309,244.47901475694445,64.93215603298611,3.785699655356844,63.576336372173216,0.1118055555555555,3.7651455,-0.10100634364069527
7796,644.0358072916666,33.84477267795139,4.044784539325857,31.350134800589142,0.1243055555555555,19.029108,-0.10081114860462326
45015,2309.6788194444443,80.08115234375,1.4419842163302117,9.475508315324626,0.175,28.841728,-0.10038349641556044
41330,40.19012586805555,16.846293131510418,5.5677642974755015,31.999998920063653,0.96875,2.3856955,-0.10006179975058771
63209,27.79865993923611,15.278355577256944,5.0181490440608085,26.18181810197764,0.9618055555555556,1.8194798,-0.09975879957427403
16438,217.72278645833333,12.852385796440972,4.710658846733411,48.32443240909246,0.0729166666666666,16.940262,-0.09968790634431857
16235,583.9154079861111,33.15531955295139,3.7196802761334817,31.07308102012196,0.1701388888888889,17.611515,-0.09921073252391377
