scene_l1,operator,test_distance_km,test_duration_h,avg_speed_kmh,RedCap驻留时长,RedCap时长驻留比,x1_平均SS-RSRP,x1_平均SS-SINR,x1_覆盖率1,x1_覆盖率2,x1_覆盖率3,x1_覆盖率4,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_应用层上行速率达标速率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均SS-RSRP,x2_平均SS-SINR,x2_覆盖率1,x2_覆盖率2,x2_覆盖率3,x2_覆盖率4,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值速率,z2_应用层上行速率达标速率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率,delta_rsrp,abs_delta_rsrp,delta_cov2,abs_delta_cov2,dl_drop_rate_calc,effective_dl,dl_tail_drag,dl_drops_per_hour,dl_drops_per_km,ul_drop_rate_calc,effective_ul,ul_tail_drag,ul_drops_per_hour,ul_drops_per_km,availability,stay_eff
定点,电信,,0.32117888888888896,,0.3107647724335,0.9687677249636639,-77.94268312002839,12.079388683796557,0.9479313564142791,0.9610533998856463,0.9659113209575491,0.9904809349844198,32.628316469225695,43.1752855,0.7986456959132111,10.0,10.0,0.0,0.0,17.501993177305188,21.818374975,0.9490971571906355,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.628316469225695,10.546969030774306,0.0,,0.0,17.501993177305188,4.316381797694811,0.0,,0.9480062994263084,
定点,移动,,0.32187687499999995,,0.32129275758897224,0.9982506043293735,-75.20420988001366,13.132605508564748,0.9895106432936649,0.9959751878781594,0.9909528655636487,0.9976784998835562,50.2379381353485,63.023920625,0.9089087369993928,9.975,9.975,0.0,0.0,30.260397518391613,35.718275,0.9908281368046399,10.0,9.9875,0.0125,0.0013888888888888874,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.2379381353485,12.785982489651504,0.0,,0.00125,30.19284978363235,5.457877481608389,0.033316058340119976,,0.9895057463420951,
驶测,电信,54.82591369878985,1.9414755857487926,12.446218818827155,1.8982056092152175,0.9704151295437735,-78.079504113732,10.815080820980578,0.9278603956181949,0.9323257363811095,0.9577456558247406,0.9632403143497069,32.450816803781166,61.467897826086954,0.8095576127760956,65.06521739130434,64.8913043478261,0.021739130434782608,0.0001358695652173913,17.394276806142198,25.453497826086956,0.9668683120165084,65.76086956521739,65.67391304347827,0.08695652173913043,0.0021720351480701353,-78.68209029381609,10.499018910445876,0.9260652995910509,0.9301829721489656,0.9634214148464717,0.9687540015191417,31.339744856193622,57.096863876972805,0.8205501378595719,65.06521739130434,64.8913043478261,0.021739130434782608,0.0001358695652173913,17.131212337305826,24.89444008264422,0.9737499641752655,65.76086956521739,65.67391304347827,0.08695652173913043,0.0021720351480701353,0.6025861800840877,0.8164127434185565,0.0021427642321439873,0.01528557092460371,0.0001325556733828208,32.44756533274069,29.01708102230579,0.003082631673417411,0.00010153822047821717,0.002029046402996767,17.35035474915092,8.059221019944758,0.056017441483583674,0.010383236043093403,0.9295950989829337,0.1608035769921
驶测,移动,54.83075740302451,1.943560066425121,12.445154040605725,1.9087208322060143,0.9761795949605618,-74.76225239722693,11.217443152468448,0.9379975391952325,0.9414832518344333,0.9615682025766692,0.9656048895106468,47.42308368502065,76.97292717391304,0.8923827329109884,65.52173913043478,65.33695652173913,0.09782608695652174,0.0005361049709633166,31.668638684401245,48.756432608695654,0.9757033492333942,65.48913043478261,65.41304347826087,0.05434782608695652,0.001436030421537667,-75.1765118906261,10.945606903317945,0.9400891330571792,0.9434866395871019,0.970172328574503,0.974268888526342,46.874992308509746,73.83324924195314,0.9027247122644776,65.52173913043478,65.33695652173913,0.09782608695652174,0.0005361049709633166,31.443139918593122,47.76776010294733,0.9842722855597364,65.48913043478261,65.41304347826087,0.05434782608695652,0.001436030421537667,0.4142594933991721,0.8826434418535393,-0.0020033877526685114,0.014272931405186462,0.0005261806642475893,47.4042732293367,29.549843488892396,0.014096197509436876,0.0004699829979511127,0.0013128131841124344,31.652370492784602,17.08779392429441,0.03655467539526676,0.00674697274468729,0.9388604632561935,0.1619549362340525
