operator,x1_平均SS-RSRP_wmean,x1_平均SS-RSRP_n,x1_平均SS-SINR_wmean,x1_平均SS-SINR_n,x1_覆盖率1_wmean,x1_覆盖率1_n,y1_应用层下行平均吞吐率_wmean,y1_应用层下行平均吞吐率_n,z1_应用层上行平均吞吐率_wmean,z1_应用层上行平均吞吐率_n,effective_dl_wmean,effective_dl_n,effective_ul_wmean,effective_ul_n
电信,-74.8043214956588,86,12.205093475280215,86,0.9383217818855448,84,34.33415942332539,86,19.772726904137784,86,34.224186234422525,86,19.755602267679272,86
移动,-71.20591824762725,86,13.105505672049988,86,0.9598729850360426,84,55.817858334121546,86,40.99113324973272,86,55.78483010082291,86,40.9568873744759,86
联通,-74.8362347945114,86,12.345061000783176,86,0.9372782430491637,84,29.94259531078093,86,16.972284162298536,86,29.929898149601293,86,16.95130947489497,86
