vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,RedCap驻留时长,RedCap时长驻留比,x1_平均SS-RSRP,x1_平均SS-SINR,x1_覆盖率1,x1_覆盖率2,x1_覆盖率3,x1_覆盖率4,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_应用层上行速率达标速率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均SS-RSRP,x2_平均SS-SINR,x2_覆盖率1,x2_覆盖率2,x2_覆盖率3,x2_覆盖率4,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值速率,z2_应用层上行速率达标速率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率
7715b7194cb0b2308630075510656066,F,驱测,骑行道,移动,3.814,0.407,9.37100737100737,0.38763491558,0.95241994,-79.2423878659825,1.66396755206761,0.772759856630824,0.772759856630824,0.813462118925445,0.813462118925445,36.5443514150943,65.319,0.867924528301887,15,15,0,0.0,29.4587607758621,50.966,0.987068965517241,16,16,0,0.0,-77.7247522522523,1.96433783783784,0.787234042553192,0.787234042553192,0.833333333333333,0.833333333333333,36.158141025641,63.33,0.833333333333333,15.0,15.0,0.0,0.0,31.9819866666667,51.212,1.0,16.0,16.0,0.0,0.0
7715b7194cb0b2308630075510656066,F,定点,停车场,移动,,0.24,,0.24,1.0,-83.5055660421004,2.35721235253296,0.995836224843858,0.995836224843858,0.995836224843858,0.995836224843858,61.5957810218978,70.466,1.0,9,9,0,0.0,43.40705,51.497,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,F,驱测,骑行道,移动,3.814,0.408,9.34803921568628,0.3923888184,0.9617373,-89.6269576701659,2.54347443278022,0.813137032842582,0.813622391198835,0.850998984083982,0.851506942092787,19.4235762331839,52.719,0.517937219730942,15,15,0,0.0,10.1573820960699,18.772,0.860262008733624,16,16,0,0.0,-89.6634158878505,2.29714485981308,0.783549783549784,0.783549783549784,0.845794392523365,0.845794392523365,19.8639305555556,46.867,0.541666666666667,15.0,15.0,0.0,0.0,11.2480422535211,18.948,0.915492957746479,16.0,16.0,0.0,0.0
7715b7194cb0b2308630075510656066,H,定点,补给站,电信,,0.274,,0.274,1.0,-77.1675001036269,2.66426507772021,0.995233160621762,0.995233160621762,0.995233160621762,0.995233160621762,4.16117704918033,6.836,0.0229508196721311,10,10,0,0.0,8.70883666666667,10.462,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,补给站,电信,,0.436125,,0.433488888888889,0.993955606509347,-92.9427567252135,2.77081409852779,0.894776972931758,0.928072181979921,0.902692307692308,0.936282051282051,6.66825200666667,11.3903,0.216666666666667,10,10,0,0.0,5.07929425666667,8.70091,0.79,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,补给站,移动,,0.435955555555556,,0.435925,0.999929911305943,-91.400936822502,2.94051052684267,0.989668367346939,0.989668367346939,0.989668367346939,0.989668367346939,7.69807719,10.6836,0.173333333333333,10,10,0,0.0,5.24557166333333,7.38215,0.983333333333333,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,B,驱测,骑行道,电信,2.714,0.696,3.89942528735632,0.6397431204,0.91917115,-80.2217664324897,3.04628803772495,0.769420035149385,0.77390158172232,0.84265229525551,0.847560388797998,43.8585707317073,90.979,0.828048780487805,29,29,0,0.0,58.4796666666667,86.746,0.986318407960199,29,29,0,0.0,-79.1524171428571,2.70966285714286,0.728155339805825,0.733009708737864,0.857142857142857,0.862857142857143,45.1664202898551,87.039,0.898550724637681,29.0,29.0,0.0,0.0,57.9195671641791,84.879,0.985074626865672,29.0,29.0,0.0,0.0
7715b7194cb0b2308630075510656066,B,定点,咖啡厅,电信,,0.241,,0.241,1.0,-93.4732558635394,3.07470682302772,0.993869936034115,0.993869936034115,0.993869936034115,0.993869936034115,8.58690789473684,13.814,0.236842105263158,10,10,0,0.0,24.41929,44.459,0.993333333333333,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,定点,补给站,移动,,0.374875,,0.374847222222222,0.999925901226335,-88.8911030832508,3.21512802225696,0.985648078935566,0.98579757811332,0.985648078935566,0.98579757811332,54.90154963,70.521,1.0,10,10,0,0.0,20.1479266633333,27.3287,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,定点,咖啡厅,移动,,0.395027777777778,,0.395,0.999929681457,-71.3418856977928,3.7109510291628,0.999434948439045,0.999434948439045,0.999434948439045,0.999434948439045,13.3471190066667,28.0958,0.576666666666667,10,10,0,0.0,24.6817955433333,29.1784,0.993333333333333,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,H,定点,咖啡厅,电信,,0.242,,0.10173589734,0.42039627,-107.408703150912,3.82601437258154,0.0567523743340283,0.373639101227704,0.135433941404091,0.891652846876728,14.7453100775194,19.684,0.89922480620155,10,10,0,0.0,3.185448,4.957,0.848,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,定点,补给站,电信,,0.37505,,0.375022222222222,0.999925935801152,-91.0923827071165,4.37098659996673,0.977430033102618,0.977580499548601,0.977430033102618,0.977580499548601,52.49486381,74.249,0.99,10,10,0,0.0,16.07393423,22.1687,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,定点,停车场,电信,,0.377797222222222,,0.377763888888889,0.999911769247171,-80.927465653022,4.39095827046186,1.0,1.0,1.0,1.0,20.3844403966667,30.313,0.97,10,10,0,0.0,24.93005183,28.5085,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,补给站,移动,,0.436297222222222,,0.436272222222222,0.999942699612267,-86.1022073774922,4.60143431124269,0.997704081632653,0.997704081632653,0.997704081632653,0.997704081632653,32.71280559,42.054,1.0,10,10,0,0.0,46.1478893866667,64.0641,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,B,驱测,骑行道,移动,2.714,0.696,3.89942528735632,0.6401771112,0.9197947,-77.6997659145463,4.67172088334133,0.832000702925929,0.832000702925929,0.909169467114738,0.909169467114738,45.4882653562654,87.298,0.847665847665848,29,29,0,0.0,51.3629280397022,85.538,0.97394540942928,29,29,0,0.0,-78.3604124293785,4.69821468926554,0.831683168316832,0.831683168316832,0.949152542372881,0.949152542372881,44.7037910447761,84.703,0.865671641791045,29.0,29.0,0.0,0.0,52.9797083333333,83.311,0.986111111111111,29.0,29.0,0.0,0.0
7715b7194cb0b2308630075510656066,F,驱测,骑行道,移动,2.505,0.518,4.83590733590734,0.510353284,0.985238,-74.4312507077341,4.95045419544785,0.906180276662204,0.906180276662204,0.919827879062394,0.919827879062394,42.9055222052067,64.941,0.964777947932619,22,22,0,0.0,27.3437503805175,52.123,0.992389649923896,22,22,0,0.0,-74.40035625,5.21803125,0.926829268292683,0.926829268292683,0.95,0.95,43.2795689655172,66.251,1.0,22.0,22.0,0.0,0.0,26.8822222222222,50.42,1.0,22.0,22.0,0.0,0.0
61f672c7283626788223681647752079,C,驱测,骑行道,移动,2.17301897633076,0.73,2.97673832374077,0.727892221,0.997112631506849,-89.8590449492308,5.01775224164474,,,,,27.0881401166667,44.964,0.952380952380952,14,14,0,0.0,30.1392578136792,48.6117,0.936320754716981,15,15,0,0.0,-89.9222834993131,5.28700495237671,,,,,27.6355745686604,45.2693104666667,0.96969696969697,14.0,14.0,0.0,0.0,28.6799765584331,43.4211505,0.909090909090909,15.0,15.0,0.0,0.0
61f672c7283626788223681647752079,I,定点,休息点,电信,,0.393916666666667,,0.393888888888889,0.999929483111205,-79.6503998783349,5.04163900444144,0.993926553672316,0.99406779661017,0.993926553672316,0.99406779661017,13.5508805927152,32.9768,0.377483443708609,10,10,0,0.0,12.0998633566667,22.1464,0.856666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,F,驱测,骑行道,电信,2.844,0.596,4.77181208053691,0.5203990092,0.8731527,-81.2278310349112,5.13432376692757,0.806898020012774,0.806898020012774,0.941731892160517,0.941731892160517,23.2606035502959,41.456,0.77810650887574,25,25,0,0.0,19.7240235640648,24.451,0.976435935198822,26,26,0,0.0,-80.964037735849,4.95569811320755,0.814814814814815,0.814814814814815,0.968553459119497,0.968553459119497,22.0916774193548,36.614,0.790322580645161,25.0,25.0,0.0,0.0,19.894262295082,25.263,1.0,26.0,26.0,0.0,0.0
7715b7194cb0b2308630075510656066,F,驱测,骑行道,电信,2.442,0.277,8.8158844765343,0.27358942919,0.98768747,-85.7587978271138,5.2248058573453,0.932246798603027,0.932246798603027,0.945677846008503,0.945677846008503,14.8854626865672,30.291,0.564179104477612,11,11,0,0.0,12.4478850574713,19.405,0.994252873563218,12,12,0,0.0,-85.8508874172185,3.82723178807947,0.902597402597403,0.902597402597403,0.920529801324503,0.920529801324503,11.16914,24.611,0.44,11.0,11.0,0.0,0.0,11.6741754385965,17.091,1.0,12.0,12.0,0.0,0.0
7715b7194cb0b2308630075510656066,A,驱测,步行道,移动,6.101,0.568,10.7411971830986,0.55585629064,0.97862023,-75.0766108638479,5.26292433744689,0.89616945461744,0.89616945461744,0.91584058264212,0.91584058264212,49.8109122302158,71.278,0.976978417266187,24,24,0,0.0,34.853697740113,55.001,0.977401129943503,24,24,0,0.0,-75.1658425414365,4.83459944751381,0.912234042553192,0.912234042553192,0.947513812154696,0.947513812154696,47.562407079646,64.486,1.0,24.0,24.0,0.0,0.0,33.936030075188,50.426,1.0,24.0,24.0,0.0,0.0
7715b7194cb0b2308630075510656066,H,定点,咖啡厅,移动,,0.242,,0.23212985334,0.95921427,-105.212273686735,5.43858263372511,0.458986175115207,0.947695852534562,0.477812425041977,0.986567522187575,16.228332155477,21.255,0.918727915194346,10,10,0,0.0,3.2931875,5.243,0.851973684210526,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,B,定点,咖啡厅,移动,,0.241,,0.241,1.0,-90.9019177126918,5.61671129707113,1.0,1.0,1.0,1.0,6.51914098360656,11.25,0.160655737704918,10,10,0,0.0,11.05781,16.464,0.976666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,定点,咖啡厅,电信,,0.395191666666667,,0.395163888888889,0.999929710618617,-70.3834532126154,5.87074658018629,0.999576988155668,0.999576988155668,0.999576988155668,0.999576988155668,30.4117594466667,48.7176,0.993333333333333,10,10,0,0.0,27.8657497366667,29.8196,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,停车场,电信,,0.441697222222222,,0.376777777777778,0.853022746853991,-96.2739137173687,6.14393286860004,0.8444360333081,0.8444360333081,0.990381769754365,0.990381769754365,7.50781609333333,20.6447,0.226666666666667,10,10,0,0.0,4.59625506666667,9.89033,0.736666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,定点,停车场,移动,,0.377625,,0.3776,0.999933796756041,-77.9531892108833,6.26120694310783,1.0,1.0,1.0,1.0,23.3625451066667,33.5395,0.986666666666667,10,10,0,0.0,27.2653685566667,29.12,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,I,定点,停车场,移动,,0.402058333333333,,0.370691666666667,0.921984786618857,-96.5334739008978,6.26571427100722,0.894321329639889,0.904293628808864,0.969810753980174,0.980624812255933,26.5930071666667,34.3402,0.896666666666667,10,10,0,0.0,16.61958628,19.8202,0.97,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,驱测,骑行道,移动,5.16537125635147,0.448405555555556,11.5194185093264,0.425161111111111,0.948162006120451,-77.8071429134665,6.2744193548157,0.809002735637901,0.809002735637901,0.852463312368973,0.852463312368973,30.9203571923077,70.5321,0.715384615384615,13,13,0,0.0,41.0781959589744,75.5779,0.971794871794872,13,13,0,0.0,-78.223345875703,5.96176807400794,0.776061776061776,0.776061776061776,0.85531914893617,0.85531914893617,27.9087518216372,60.5089405,0.671232876712329,13.0,13.0,0.0,0.0,45.161314339686,77.4380188571429,1.0,13.0,13.0,0.0,0.0
61f672c7283626788223681647752079,C,驱测,骑行道,移动,2.17256402724981,0.73,2.97611510582166,0.7278652,0.997075616438356,-89.6234583327262,6.31187857744307,,,,,26.9962605214286,60.3586,0.869047619047619,14,14,0,0.0,13.8313388428571,21.76,0.916666666666667,14,14,0,0.0,-90.3303576073013,6.11422737593426,,,,,26.200213463809,59.0859075,0.885714285714286,14.0,14.0,0.0,0.0,14.2329443533293,24.4116173333333,0.972972972972973,14.0,14.0,0.0,0.0
7715b7194cb0b2308630075510656066,F,驱测,骑行道,移动,2.442,0.277,8.8158844765343,0.27408689072,0.98948336,-83.9275791253926,6.3716429089152,0.943702290076336,0.944417938931298,0.955786421841024,0.956511234597729,16.9660223463687,31.272,0.628491620111732,12,12,0,0.0,11.3999546827795,18.268,0.97583081570997,11,11,0,0.0,-84.1761324503311,4.9852582781457,0.916129032258065,0.916129032258065,0.940397350993378,0.940397350993378,15.4726181818182,28.879,0.527272727272727,12.0,12.0,0.0,0.0,10.519,13.902,1.0,11.0,11.0,0.0,0.0
7715b7194cb0b2308630075510656066,A,定点,咖啡厅,电信,,0.256,,0.256,1.0,-82.6342488789238,6.44417538614848,1.0,1.0,1.0,1.0,12.2229276315789,15.635,0.763157894736842,10,10,0,0.0,8.35336666666667,10.549,0.993333333333333,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,D,定点,停车场,移动,,0.371033333333333,,0.371005555555556,0.999925134010122,-83.0435793486684,6.4655469295815,0.999850052481631,0.999850052481631,0.999850052481631,0.999850052481631,30.160414722408,52.1396,0.775919732441472,10,10,0,0.0,12.2040859466667,20.8835,0.99,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,F,驱测,骑行道,移动,2.844,0.596,4.77181208053691,0.5732978832,0.9619092,-78.3090488117428,6.51720864398882,0.889173250250362,0.889173250250362,0.93091798695247,0.93091798695247,32.5599046391753,59.19,0.853092783505155,26,26,0,0.0,20.4684666666667,25.116,0.977304964539007,25,25,0,0.0,-78.3212541436464,6.17370718232044,0.88265306122449,0.88265306122449,0.955801104972376,0.955801104972376,30.6961940298507,51.486,0.850746268656716,26.0,26.0,0.0,0.0,20.5139552238806,26.944,1.0,25.0,25.0,0.0,0.0
61f672c7283626788223681647752079,J,定点,停车场,移动,,0.441527777777778,,0.441502777777778,0.999943378420887,-97.3753760901611,6.68312684790193,0.994321766561514,1.0,0.994321766561514,1.0,4.23361728,5.71661,0.0,10,10,0,0.0,3.98868660666667,6.07393,0.833333333333333,10,10,0,0.0,,,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,驱测,骑行道,电信,2.17412685996294,0.73,2.97825597255197,0.7299991,0.999998767123288,-89.4211104006948,6.80509911483584,,,,,27.596685097619,59.6751,0.866666666666667,14,14,0,0.0,15.5700946848341,24.8638,0.943127962085308,15,15,0,0.0,-89.9023876715752,6.34684274167585,,,,,25.4558596090763,49.2797219230769,0.882352941176471,14.0,14.0,0.0,0.0,15.1668247139688,23.3895301666667,0.939393939393939,15.0,15.0,0.0,0.0
61f672c7283626788223681647752079,I,驱测,骑行道,移动,5.39874204570055,0.644341666666667,8.37869460410582,0.644316666666667,0.999961200708734,-61.7245814977052,7.07455430920921,0.971933471933472,0.971933471933472,0.971933471933472,0.971933471933472,79.6402843803922,103.415,1.0,18,17,0,0.0,66.5359487703704,85.1406,1.0,18,18,0,0.0,-61.9966075610326,7.02076937285683,1.0,1.0,1.0,1.0,79.4025028442215,99.662735,1.0,18.0,17.0,0.0,0.0,68.1918005672315,95.584415,1.0,18.0,18.0,0.0,0.0
