operator,y1_应用层下行平均吞吐率_dt_mean,y1_应用层下行平均吞吐率_cqt_mean,y1_应用层下行平均吞吐率_penalty,y1_应用层下行平均吞吐率_n_dt,y1_应用层下行平均吞吐率_n_cqt,z1_应用层上行平均吞吐率_dt_mean,z1_应用层上行平均吞吐率_cqt_mean,z1_应用层上行平均吞吐率_penalty,z1_应用层上行平均吞吐率_n_dt,z1_应用层上行平均吞吐率_n_cqt,x1_平均SS-RSRP_dt_mean,x1_平均SS-RSRP_cqt_mean,x1_平均SS-RSRP_penalty,x1_平均SS-RSRP_n_dt,x1_平均SS-RSRP_n_cqt,x1_平均SS-SINR_dt_mean,x1_平均SS-SINR_cqt_mean,x1_平均SS-SINR_penalty,x1_平均SS-SINR_n_dt,x1_平均SS-SINR_n_cqt,effective_dl_dt_mean,effective_dl_cqt_mean,effective_dl_penalty,effective_dl_n_dt,effective_dl_n_cqt,effective_ul_dt_mean,effective_ul_cqt_mean,effective_ul_penalty,effective_ul_n_dt,effective_ul_n_cqt
电信,35.58794569627137,35.09552405934075,0.49242163693062224,46,40,18.790668526679205,17.76748926626803,1.023179260411176,46,40,-77.61616412754772,-78.57834329377575,0.9621791662280259,46,40,10.8791888456986,12.010976109930724,-1.1317872642321234,46,40,35.559108038154456,35.09552405934075,0.46358397881370905,46,40,18.767306257640538,17.76748926626803,0.9998169913725086,46,40
移动,59.258221673769924,65.38035221135624,-6.122130537586315,46,40,44.54660884212328,42.75330577051518,1.7933030716080935,46,40,-71.90834066690613,-71.83007646625158,-0.07826420065454442,46,40,11.555697459238294,14.25423490719877,-2.698537447960476,46,40,59.249438420518956,65.38035221135624,-6.130913790837283,46,40,44.53743472792866,42.618210300996665,1.9192244269319971,46,40
联通,32.450816803781166,32.628316469225695,-0.1774996654445289,46,40,17.394276806142194,17.501993177305188,-0.1077163711629936,46,40,-78.07950411373199,-77.94268312002839,-0.13682099370359424,46,40,10.815080820980576,12.079388683796559,-1.2643078628159827,46,40,32.44756533274069,32.628316469225695,-0.18075113648500718,46,40,17.350354749150917,17.501993177305188,-0.1516384281542713,46,40
