metric,operator_a,operator_b,n_a,n_b,mean_a,mean_b,t_stat,p_value
x1_平均RSRP,联通,电信,74,76,-89.257639317864,-73.09077304246554,-7.268172661230457,2.6949905447276883e-11
x1_平均RSRP,联通,移动,74,76,-89.257639317864,-70.67994747608702,-8.056395549026274,3.0363346756167187e-13
x1_平均RSRP,电信,移动,76,76,-73.09077304246554,-70.67994747608702,-1.2361700689355632,0.21834581611806853
x1_平均SINR,联通,电信,74,76,3.640561408584929,7.815775519140116,-4.9994267707117155,1.8556194568761418e-06
x1_平均SINR,联通,移动,74,76,3.640561408584929,8.728859709089338,-5.589891429968428,1.1105199384023263e-07
x1_平均SINR,电信,移动,76,76,7.815775519140116,8.728859709089338,-1.2202002818157889,0.2244086334868706
x1_覆盖率1,联通,电信,74,76,0.7135878503153359,0.9513801006110431,-5.8893173499356735,9.093324496419429e-08
x1_覆盖率1,联通,移动,74,76,0.7135878503153359,0.942442034017541,-5.338141989950902,6.136135110293257e-07
x1_覆盖率1,电信,移动,76,76,0.9513801006110431,0.942442034017541,0.49227975324979717,0.6235265397257471
