operator,x1_平均RSRP_wmean,x1_平均RSRP_n,x1_平均SINR_wmean,x1_平均SINR_n,x1_覆盖率1_wmean,x1_覆盖率1_n
电信,-73.18553840893294,76,7.39684829020508,76,0.931287000264398,76
移动,-71.79472741117146,76,6.5293637641891635,76,0.8952333642097636,76
联通,-89.60095571607972,74,2.7121699818910203,74,0.6622540181690298,74
