operator,x1_平均RSRP_median,x1_平均RSRP_winsor_mean,x1_平均RSRP_outlier_rate,x1_平均RSRP_n,x1_平均SINR_median,x1_平均SINR_winsor_mean,x1_平均SINR_outlier_rate,x1_平均SINR_n,x1_覆盖率1_median,x1_覆盖率1_winsor_mean,x1_覆盖率1_outlier_rate,x1_覆盖率1_n,y1_应用层下行平均吞吐率_median,y1_应用层下行平均吞吐率_winsor_mean,y1_应用层下行平均吞吐率_outlier_rate,y1_应用层下行平均吞吐率_n,z1_应用层上行平均吞吐率_median,z1_应用层上行平均吞吐率_winsor_mean,z1_应用层上行平均吞吐率_outlier_rate,z1_应用层上行平均吞吐率_n
电信,-78.12809889500535,-79.47692434062564,0.011627906976744186,86,7.83018356112885,9.159480186915932,0.023255813953488372,86,0.96061927285765,0.951079424596505,0.08139534883720931,86,8.015160290735736,7.770767931396658,0.023255813953488372,86,4.54712418085421,4.518327709473476,0.046511627906976744,86
移动,-78.1891583112821,-78.75675897726367,0.01744186046511628,172,9.8497425784229,10.504864911055781,0.03488372093023256,172,0.977913015052701,0.9607937462273364,0.08139534883720931,172,7.474878108486105,7.337602694126071,0.011627906976744186,172,4.46967615113717,4.1715595305683255,0.09883720930232558,172
