operator,x1_平均RSRP_wmean,x1_平均RSRP_n,x1_平均SINR_wmean,x1_平均SINR_n,x1_覆盖率1_wmean,x1_覆盖率1_n,y1_应用层下行平均吞吐率_wmean,y1_应用层下行平均吞吐率_n,z1_应用层上行平均吞吐率_wmean,z1_应用层上行平均吞吐率_n,effective_dl_wmean,effective_dl_n,effective_ul_wmean,effective_ul_n
电信,-78.49752753984657,86,8.212982889826982,86,0.9376178904336007,86,7.206566489580399,86,4.429758438374281,86,7.203989327824543,86,4.425728919120591,86
移动,-74.65622963572697,86,10.14336336189464,86,0.9545078936093168,86,6.885812287544454,86,3.710622415736111,86,6.88121629863965,86,3.7079627813105245,86
联通,-77.26826250366348,86,8.006119945751141,86,0.9340454116828611,86,7.072090026686373,86,4.396690492544282,86,7.065172878982564,86,4.396690492544282,86
