vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_上行速率达标率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值率,z2_应用层上行速率达标率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率
7715b7194cb0b2308630075510656066,F,定点,补给站,移动,,0.242,,-92.1209646139706,3.59755974264706,1.0,1.0,4.29029836065574,4.474,0.99016393442623,10,10,0,0.0,0.965039344262295,1.556,0.809836065573771,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,I,定点,停车场,联通,,0.402166666666667,,-91.9256835202265,1.00219883461696,0.936731843575419,0.936731843575419,8.00027811,9.75679,1.0,10,10,0,0.0,4.47744701,5.97837,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,咖啡厅,联通,,0.436494444444444,,-91.8736710317174,18.1797256462444,1.0,1.0,8.53513267333333,8.77806,1.0,10,10,0,0.0,3.65191060333333,5.12,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,A,定点,停车场,移动,,0.26,,-91.6838789575705,11.2914602627611,1.0,1.0,5.6768125,5.9049997,0.993421052631579,10,10,0,0.0,0.871407284768212,2.555,0.456953642384106,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,咖啡厅,电信,,0.436333333333333,,-91.3726607740085,9.08861142846068,1.0,1.0,7.89236921666667,8.64303,1.0,10,10,0,0.0,4.49707390333333,6.0198,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,A,定点,咖啡厅,电信,,0.245,,-91.328715179606,2.99390428736964,0.952491309385863,0.952491309385863,7.9377582781457,9.863,0.983443708609272,10,10,0,0.0,4.39054,5.396,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,停车场,联通,,0.441641666666667,,-91.1404505012131,2.58517630716236,0.923319858514401,0.923319858514401,7.12065970333333,8.57113,0.996666666666667,10,10,0,0.0,4.05864299333333,5.4509,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,B,定点,咖啡厅,联通,,0.24,,-90.799466387532,-6.47378436845778,0.00372179576645732,0.00372179576645732,2.40727960526316,6.515,0.3125,10,10,0,0.0,3.76077814569536,5.505,0.993377483443708,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,驶测,步行道,移动,1.66221134400368,0.349313888888889,4.75850344597206,-90.4304784327513,15.5710655520864,0.851745576279292,0.930974015622509,6.74280725185185,8.72853,1.0,9,9,0,0.0,1.72931169090909,4.16542,0.963636363636364,10,10,0,0.0,-91.5291809382841,14.8458496066515,0.858974358974359,0.935897435897436,6.7227379648322,8.672705,1.0,9.0,9.0,0.0,0.0,1.8335377132495,4.1254978,0.961538461538462,10.0,10.0,0.0,0.0
61f672c7283626788223681647752079,C,定点,停车场,联通,,0.38175,,-90.3552678748444,11.3896817843026,0.999271561771562,0.999271561771562,8.45457587333333,8.82717,1.0,10,10,0,0.0,4.52212661,6.02577,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
