scene_l1,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2,delta_rsrp,abs_delta_rsrp,delta_cov2,abs_delta_cov2
定点,电信,,0.3115502136752137,,-73.51553791604428,8.366489538153795,0.9719115436230319,0.9803538037893762,,,,,,,,
定点,移动,,0.29768917378917376,,-70.30420595078564,10.417567208127847,0.9658872564473211,0.965936529667326,,,,,,,,
定点,联通,,0.326833664021164,,-89.02396913168137,4.233876070250318,0.7387216087667468,0.7987682664699978,,,,,,,,
驶测,电信,3.2473293840273003,0.552011936936937,5.976434869793705,-72.64304790545016,7.2352931747743465,0.9297388498686766,0.9322631989297039,-72.8225284962357,7.291172532550961,0.9262142259416964,0.93114622443851,0.10820401859873169,0.8957984533523038,0.0020412711749070536,0.017656290041859223
驶测,移动,2.9969319731383712,0.5556867867867868,5.652684966847098,-71.0759993541074,6.948870723616311,0.9177295022672325,0.9184332355260141,-71.67943214420922,6.748667231271847,0.9099061937303065,0.9108622310684577,0.7362726434768526,1.2117643932265914,0.006722200984985157,0.019325839712194613
驶测,联通,3.2730161631685846,0.5697970588235295,6.002825119721945,-89.53254541925534,2.9425441595668254,0.6840187227254407,0.7220589215865838,-89.02916856095446,2.85482448428126,0.6867361752725849,0.7236056113554402,0.8055288963639489,1.4869602701503861,0.02569136030898365,0.034539295213110714
