operator,x1_平均SS-RSRP_median,x1_平均SS-RSRP_winsor_mean,x1_平均SS-RSRP_outlier_rate,x1_平均SS-RSRP_n,x1_平均SS-SINR_median,x1_平均SS-SINR_winsor_mean,x1_平均SS-SINR_outlier_rate,x1_平均SS-SINR_n,x1_覆盖率1_median,x1_覆盖率1_winsor_mean,x1_覆盖率1_outlier_rate,x1_覆盖率1_n,y1_应用层下行平均吞吐率_median,y1_应用层下行平均吞吐率_winsor_mean,y1_应用层下行平均吞吐率_outlier_rate,y1_应用层下行平均吞吐率_n,z1_应用层上行平均吞吐率_median,z1_应用层上行平均吞吐率_winsor_mean,z1_应用层上行平均吞吐率_outlier_rate,z1_应用层上行平均吞吐率_n
电信,-77.70728921592726,-78.04401014715728,0.011627906976744186,86,11.20327952103285,11.211446938013463,0.05813953488372093,86,0.989891086765779,0.9678622340257658,0.08333333333333333,84,31.14164817612945,35.23283456030638,0.011627906976744186,86,16.59879030115885,17.942498157321324,0.023255813953488372,86
移动,-73.0496489224727,-71.87193871311334,0.0,86,12.107244748726451,12.810831155964099,0.0,86,0.9962809937507899,0.9812501819959739,0.10714285714285714,84,58.2267572277633,61.65118125800893,0.03488372093023256,86,41.40516305,43.71251439021254,0.0,86
联通,-77.56385522504655,-77.94085863268698,0.03488372093023256,86,11.368077525299999,11.21789930269951,0.06976744186046512,86,0.9868558004782635,0.959205286562005,0.09523809523809523,84,28.82759608158775,32.2302272038343,0.05813953488372093,86,15.7306266666667,16.68585276204772,0.03488372093023256,86
