scene_l1,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_上行速率达标率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值率,z2_应用层上行速率达标率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率
定点,电信,,0.3214252083333334,,-80.41315019148053,10.20658422534968,0.9370950976681499,0.9490843079528147,7.976374083752089,9.2985705125,0.9579330773731879,10.0,10.0,0.0,0.0,4.560291988338178,5.7369769925,0.9966688778391382,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,
定点,移动,,0.32144993055555554,,-79.93596502641554,11.633891409107749,0.9492505633667194,0.959600508893234,7.461234873875061,8.67777287125,0.9773039354366743,10.0,9.975,0.0125,0.0013888888888888874,4.042558964938418,5.32927714625,0.9500086301500386,10.025,10.025,0.0,0.0,,,,,,,,,,,,,,,,,,
驶测,电信,54.83685653901489,1.9132468961352658,12.866616695502541,-78.74139642219836,8.247336668655523,0.9307500815294005,0.932748620903309,7.507248842106154,9.570689999999999,0.9425458592748143,63.71739130434783,63.608695652173914,0.06521739130434782,0.0019136054916739213,4.458251899460857,5.698341947826087,0.9831123513188191,64.3913043478261,64.3913043478261,0.0,0.0,-79.24330014640523,8.05134908575393,0.9523422225933708,0.9541473881045247,7.49781358173446,9.401104931771004,0.9617847542907958,63.71739130434783,63.608695652173914,0.06521739130434782,0.0019136054916739213,4.448026707836955,5.140598489673913,0.9919588334352938,64.3913043478261,64.3913043478261,0.0,0.0
驶测,移动,54.83728810290473,1.9133261443236715,12.86670587953659,-77.71148253424235,9.613313021062154,0.9379930999064168,0.9419975014564842,7.2209835164779745,9.148282940217392,0.9520738693939843,64.08695652173913,63.98913043478261,0.03260869565217391,0.0001516683518705763,4.0832889433054955,5.574061089130434,0.9590781159141714,63.95652173913044,63.869565217391305,0.06521739130434782,0.0033378313573865924,-78.129894841063,9.365681422720867,0.9523905236754829,0.9558995992101139,7.178734958617015,8.930980191409976,0.9678770561879354,64.08695652173913,63.98913043478261,0.03260869565217391,0.0001516683518705763,4.091759393657031,5.104411256914612,0.9799133769631349,63.95652173913044,63.869565217391305,0.06521739130434782,0.0033378313573865924
