operator,x1_平均RSRP_dt_mean,x1_平均RSRP_cqt_mean,x1_平均RSRP_penalty,x1_平均RSRP_n_dt,x1_平均RSRP_n_cqt,x1_平均SINR_dt_mean,x1_平均SINR_cqt_mean,x1_平均SINR_penalty,x1_平均SINR_n_dt,x1_平均SINR_n_cqt
电信,-72.64304790545016,-73.51553791604427,0.872490010594106,37,39,7.235293174774345,8.366489538153797,-1.131196363379452,37,39
移动,-71.0759993541074,-70.30420595078564,-0.7717934033217517,37,39,6.948870723616311,10.41756720812785,-3.468696484511538,37,39
联通,-89.53254541925534,-89.02396913168137,-0.5085762875739732,34,40,2.9425441595668254,4.233876070250318,-1.2913319106834926,34,40
