operator,x1_平均RSRP_median,x1_平均RSRP_winsor_mean,x1_平均RSRP_outlier_rate,x1_平均RSRP_n,x1_平均SINR_median,x1_平均SINR_winsor_mean,x1_平均SINR_outlier_rate,x1_平均SINR_n,x1_覆盖率1_median,x1_覆盖率1_winsor_mean,x1_覆盖率1_outlier_rate,x1_覆盖率1_n
电信,-73.02910140872311,-72.84216546939072,0.06578947368421052,76,8.153137904408439,7.815775519140116,0.0,76,0.974975310244568,0.9572020132642587,0.05263157894736842,76
移动,-68.31182709255445,-70.67994747608702,0.0,76,9.74474488070134,8.775472703661935,0.02631578947368421,76,0.9959740801255526,0.9754310565582208,0.14473684210526316,76
联通,-88.1826455728708,-89.257639317864,0.0,74,3.833312124066545,3.640561408584929,0.0,74,0.8944662015705764,0.7135878503153359,0.0,74
