operator,y1_应用层下行平均吞吐率_dt_mean,y1_应用层下行平均吞吐率_cqt_mean,y1_应用层下行平均吞吐率_penalty,y1_应用层下行平均吞吐率_n_dt,y1_应用层下行平均吞吐率_n_cqt,z1_应用层上行平均吞吐率_dt_mean,z1_应用层上行平均吞吐率_cqt_mean,z1_应用层上行平均吞吐率_penalty,z1_应用层上行平均吞吐率_n_dt,z1_应用层上行平均吞吐率_n_cqt,x1_平均RSRP_dt_mean,x1_平均RSRP_cqt_mean,x1_平均RSRP_penalty,x1_平均RSRP_n_dt,x1_平均RSRP_n_cqt,x1_平均SINR_dt_mean,x1_平均SINR_cqt_mean,x1_平均SINR_penalty,x1_平均SINR_n_dt,x1_平均SINR_n_cqt,effective_dl_dt_mean,effective_dl_cqt_mean,effective_dl_penalty,effective_dl_n_dt,effective_dl_n_cqt,effective_ul_dt_mean,effective_ul_cqt_mean,effective_ul_penalty,effective_ul_n_dt,effective_ul_n_cqt
电信,7.507248842106156,7.976374083752089,-0.4691252416459326,46,40,4.458251899460857,4.560291988338179,-0.10204008887732208,46,40,-78.74139642219835,-80.41315019148053,1.6717537692821764,46,40,8.247336668655523,10.206584225349678,-1.9592475566941552,46,40,7.494461105158251,7.976374083752089,-0.4819129785938374,46,40,4.458251899460857,4.560291988338179,-0.10204008887732208,46,40
移动,7.2209835164779745,7.461234873875061,-0.2402513573970868,92,80,4.083288943305495,4.042558964938418,0.040729978367076924,92,80,-77.71148253424235,-79.93596502641556,2.224482492173209,92,80,9.613313021062158,11.633891409107747,-2.020578388045589,92,80,7.220050772094749,7.453728081162097,-0.23367730906734874,92,80,4.071712203194793,4.042558964938418,0.029153238256375502,92,80
