scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,RedCap驻留时长,RedCap时长驻留比,x1_平均SS-RSRP,x1_平均SS-SINR,x1_覆盖率1,x1_覆盖率2,x1_覆盖率3,x1_覆盖率4,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_应用层上行速率达标速率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均SS-RSRP,x2_平均SS-SINR,x2_覆盖率1,x2_覆盖率2,x2_覆盖率3,x2_覆盖率4,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值速率,z2_应用层上行速率达标速率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率,delta_rsrp,abs_delta_rsrp,delta_cov2,abs_delta_cov2,dl_drop_rate_calc,effective_dl,dl_tail_drag,dl_drops_per_hour,dl_drops_per_km,ul_drop_rate_calc,effective_ul,ul_tail_drag,ul_drops_per_hour,ul_drops_per_km,availability,stay_eff
休息点,电信,,0.393916666666667,,0.393888888888889,0.999929483111205,-79.6503998783349,5.04163900444144,0.993926553672316,0.99406779661017,0.993926553672316,0.99406779661017,13.5508805927152,32.9768,0.377483443708609,10.0,10.0,0.0,0.0,12.0998633566667,22.1464,0.856666666666667,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.5508805927152,19.425919407284795,0.0,,0.0,12.0998633566667,10.0465366433333,0.0,,0.9938564650640602,
休息点,移动,,0.393911111111111,,0.39388333333333303,0.9999294821027465,-63.84226126741305,15.291362353894575,0.9984445701357465,0.9986566742081451,0.9984445701357465,0.9986566742081451,81.71840861833334,97.97139999999999,0.9966666666666665,10.0,10.0,0.0,0.0,62.932266751666845,69.88215,1.0,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,81.71840861833334,16.252991381666646,0.0,,0.0,62.932266751666845,6.949883248333153,0.0,,0.9983741619728655,
停车场,电信,,0.3225191666666667,,0.3160826388888888,0.9856864699924694,-74.75890722521652,13.775747835257636,0.9699298865761538,0.9786282945633467,0.9827619424429912,0.9923741558851648,35.53620382859645,47.377755,0.891228345402188,10.0,10.0,0.0,0.0,19.95003824568562,23.9850265,0.9711276477146044,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.53620382859645,11.841551171403552,0.0,,0.0,19.95003824568562,4.0349882543143805,0.0,,0.9700181066679588,
停车场,移动,,0.32251652777777773,,0.32160844940000005,0.9975549431267741,-73.33512574182475,14.854587413470435,0.9945082150117658,0.9949195540410741,0.9969220033035645,0.9973543863105425,52.62471991895825,65.94452774999999,0.9412258838633953,9.975,9.975,0.0,0.0,32.15007518104814,38.1102845,0.9912735981706833,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.62471991895825,13.319807831041748,0.0,,0.0,32.15007518104814,5.9602093189518595,0.0,,0.9945489679400467,
咖啡厅,电信,,0.3210200000000001,,0.2925110341784445,0.9043309644317331,-85.84133676520749,10.556578507051407,0.8660691638616683,0.8977868978704198,0.911533376825018,0.9871843286916654,17.344167468176998,24.416531999999997,0.6709930552272845,10.0,10.0,0.0,0.0,12.686130569666673,18.5155959,0.8904666666666665,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.344167468176998,7.072364531823001,0.0,,0.0,12.686130569666673,5.829465330333327,0.0,,0.8659749174990541,
咖啡厅,移动,,0.32102166666666665,,0.3205146871114445,0.9979267278352048,-81.96813815095632,11.10851419003045,0.970730759347096,0.9957375742603303,0.9716720718434344,0.9976811577429808,36.86906771990738,48.49990699999999,0.8501752627633078,10.0,10.0,0.0,0.0,24.17740516256466,28.935398499999998,0.9819320175438596,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.86906771990738,11.630839280092625,0.0,,0.0,24.17740516256466,4.757993337435341,0.0,,0.9706637528027052,
城市道路,电信,240.7841747322022,6.874321583333334,36.43753749469844,6.731082834154002,0.9774633472915625,-74.86289217713752,12.44395013654422,0.9389579115015376,0.9414142868276093,0.9628634211817477,0.965403853036471,29.94824349100275,61.776869999999995,0.7807985052384181,228.9,228.4,0.1,0.000625,16.94378699299609,26.528879999999997,0.9626993308647898,230.5,230.2,0.3,0.001658028347789291,-75.40444546038478,12.028387408257604,0.9255674492233729,0.9281277020030414,0.9587140243217783,0.9614016253374282,29.286368122765282,60.35293135166667,0.778386795272558,228.9,228.4,0.1,0.000625,16.35031463567217,25.95820813333333,0.9584680240853853,230.5,230.2,0.3,0.001658028347789291,0.5415532832472408,0.7425466588005591,0.013286584824567816,0.013286584824567816,0.0006097560975609756,29.933286724216543,31.828626508997253,0.014180105697720092,0.000467075814199799,0.0016413057614774352,16.920590794383223,9.585093007003909,0.03907444991605623,0.001422853916355609,0.9414456300952938,0.02911331237762038
城市道路,移动,240.78924979594944,6.873997694444445,36.44080317436688,6.763083644291889,0.983043531827389,-73.02346918530299,12.728565819767407,0.9500194927594843,0.9517134420312855,0.9677870478721335,0.9695483205921699,45.14008719513021,79.156695,0.8742571582200662,230.3,229.6,0.45,0.0024660828664312567,30.64429613608768,49.596745,0.9790455477763371,230.25,230.0,0.2,0.001050184383517718,-73.33686543600597,12.312570690496822,0.939535608282753,0.9414667363569548,0.9659046726679164,0.9679479979732164,44.19409515123526,76.89117884452382,0.8763445095634383,230.3,229.6,0.45,0.0024660828664312567,30.928394338176254,49.77022998333334,0.9779906190909647,230.25,230.0,0.2,0.001050184383517718,0.3133962507029729,1.2741011825268607,0.010246705674330803,0.011443340879488584,0.002420431055538911,45.05355909898406,34.01660780486979,0.06484250854340963,0.0021619217905751186,0.0010389406469171988,30.613449938731133,18.95244886391232,0.024896433201036572,0.0009556638640950306,0.9514978169201574,0.02924590058179379
步行道,电信,2.59967986579736,0.488808024691358,5.320805704125791,0.4739918827160494,0.9577664562327539,-79.22148918754097,12.037992216767144,0.9378071144754581,0.9450388854536494,0.9748874956471109,0.9860804775096477,33.130830698122026,62.40186666666667,0.8436492152056849,15.333333333333334,15.11111111111111,0.0,0.0,14.588975125700934,20.540788888888887,0.9617291495722868,15.666666666666666,15.555555555555555,0.1111111111111111,0.009259259259259255,-80.331467304901,11.702762053467657,0.9344340186607241,0.9419246553648437,0.9798086366673873,0.9923872530195885,30.895315292413912,54.317546082814246,0.8526601327806649,15.333333333333334,15.11111111111111,0.0,0.0,14.558454332651902,21.01423441067539,0.9702755702755703,15.666666666666666,15.555555555555555,0.1111111111111111,0.009259259259259255,1.1099781173600212,1.159684119117865,0.003114230088805662,0.010293556720325218,0.0,33.130830698122026,29.271035968544645,0.0,0.0,0.008547008547008548,14.390258166204259,5.951813763187954,0.24289531212047633,0.05148892431319338,0.9378061998201015,0.19743644930764453
步行道,移动,2.600042213718096,0.4889179012345679,5.321205846507684,0.4816403340479012,0.9803713269972472,-76.02878636558684,11.89614880069996,0.9506314549278687,0.9588543741960766,0.9676179337740428,0.9781297861934267,50.91417417256005,78.75331111111112,0.9265707340265646,15.5,15.444444444444445,0.0,0.0,33.468041288614806,48.69374444444444,0.9759090559356167,15.5,15.444444444444445,0.05555555555555555,0.006172839506172833,-76.53575714733131,11.441240102136202,0.9549688791370282,0.9636246267551025,0.9790831742075657,0.9908339298147938,51.60295581598671,75.73124958766834,0.9343472075854715,15.5,15.444444444444445,0.0,0.0,32.133497419942245,47.52702667704338,0.9879086163384945,15.5,15.444444444444445,0.05555555555555555,0.006172839506172833,0.5069707817444767,1.0011078157042885,-0.004770252559025838,0.012979246281898164,0.0,50.91417417256005,27.839136938551054,0.0,0.0,0.005555555555555556,33.4191663063037,15.225703155829637,0.15917230401910057,0.03342267862385167,0.9510334272166094,0.2024066281038857
补给站,电信,,0.3102950617283951,,0.3099932098765432,0.9993044968076258,-76.05171252959948,10.783685174639345,0.9848931480843436,0.9886259254271721,0.9857726297244047,0.9895381331274087,45.26844743584596,55.81268888888889,0.7815385480559143,10.0,10.0,0.0,0.0,18.013088125017973,20.63690111111111,0.9755555555555557,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45.26844743584596,10.544241453042932,0.0,,0.0,18.013088125017973,2.6238129860931405,0.0,,0.9851426892931736,
补给站,移动,,0.3134018518518518,,0.31339012345679007,0.9999698389094076,-73.10469306523055,11.315107535442456,0.9982788075449522,0.9982871130548274,0.9982788075449522,0.9982871130548274,56.29044902415197,68.78842222222222,0.8926013898231182,9.944444444444445,9.944444444444445,0.0,0.0,29.18978652637647,34.14324166666667,0.9987037037037036,10.0,9.944444444444445,0.05555555555555555,0.006172839506172833,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.29044902415197,12.497973198070254,0.0,,0.005555555555555556,28.88957437189087,4.953455140290198,0.14807137040053323,,0.9982487560981058,
