CELL_ID,flow_sum,user_sum,flow_sumsq,user_sumsq,flow_count,user_count,flow_max,user_max,silent_count,record_count,activity_sum,activity_count,par_sum,par_count,LATITUDE,LONGITUDE,TYPE,SCENE,flow_mean,user_mean,flow_var,user_var,flow_std,user_std,flow_cv,user_cv,flow_per_user,peak_ratio,silent_ratio,activity_mean,par_mean
621,24892078.0,2350420.8,667051800000.0,4031352600.0,1440.0,1440.0,47687.53,2080.0,0.0,1440.0,111.54114,1440.0,1835.0281,1440.0,392.0909,219.66467,1.0,2.0,17286.165277777778,1632.2366319444443,164418919.85601658,135353.97733865585,12822.59411570126,367.9048482130344,0.7417836119029442,0.2253992105144449,10.590478,2.7587108235800963,0.0,0.0774591233995225,1.2743250528971355
39033,22819772.0,3856386.0,479713950000.0,12927389000.0,1440.0,1440.0,33793.56,5198.0,0.0,1440.0,155.68188,1440.0,2794.9932,1440.0,392.03378,219.77617,1.0,2.0,15847.06388888889,2678.045833333333,82005254.81258488,1805423.7590104183,9055.675281975657,1343.6605817729485,0.5714418358800843,0.5017317347778584,5.9173985,2.1324807441108526,0.0,0.1081124199761284,1.9409674750434027
620,21360752.0,1253861.1,477453300000.0,1267231900.0,1440.0,1440.0,40637.29,1605.0,0.0,1440.0,71.757614,1440.0,2654.3035,1440.0,392.0909,219.66467,1.0,2.0,14833.855555555556,870.7368923611111,111521512.2902469,121839.3976146481,10560.374628309684,349.0550065743909,0.7119103046917985,0.4008731106222971,17.035978,2.739496074389141,0.0,0.0498316764831543,1.8432662963867188
59748,20811314.0,4358963.0,505323450000.0,22254080000.0,1440.0,1440.0,65093.42,10162.0,0.0,1440.0,168.4159,1440.0,4834.1597,1440.0,391.97604,219.78873,1.0,18.0,14452.301388888887,3027.057638888889,142050050.16472033,6291144.273066647,11918.475161056482,2508.215356197838,0.8246766269501932,0.8285984792540994,4.7743726,4.504017742464508,0.0,0.1169554816351996,3.3570553249782984
29982,18929068.0,2611860.2,437745200000.0,8790578000.0,1440.0,1440.0,57740.06,6523.0,0.0,1440.0,110.70771,1440.0,5178.7197,1440.0,391.97278,219.77988,0.0,15.0,13145.18611111111,1813.7918402777775,131193796.59314042,2814727.33791953,11453.986056964644,1677.7149155680563,0.8713445332875916,0.9249765481970182,7.247351,4.392486961059045,0.0,0.0768803543514675,3.5963331434461807
29983,17176422.0,2908418.8,374919230000.0,10939927000.0,1440.0,1440.0,47557.7,8128.0,0.0,1440.0,117.36122,1440.0,5794.9775,1440.0,391.97278,219.77988,0.0,15.0,11928.070833333331,2019.735243055556,118081705.0394271,3517840.747959316,10866.5406196925,1875.5907730524043,0.9110057084273548,0.9286319974369104,5.90576,3.987040308802381,0.0,0.0815008481343587,4.024289957682291
25630,16865364.0,2854113.5,265998800000.0,6772832000.0,1440.0,1440.0,67297.05,4647.0,0.0,1440.0,115.184525,1440.0,3376.1865,1440.0,392.38583,219.71149,1.0,16.0,11712.058333333332,1982.0232638888888,47549074.84104168,774939.51473657,6895.583720109682,880.3064890914811,0.5887593387820116,0.444145386752045,5.9091425,5.745962405554959,0.0,0.0799892531500922,2.344573974609375
31945,16825510.0,2632104.5,337143330000.0,8674020000.0,1440.0,1440.0,52294.47,8424.0,0.0,1440.0,108.15364,1440.0,6636.5166,1440.0,391.9706,219.78284,0.0,0.0,11684.381944444443,1827.850347222222,97602533.06522954,2682588.352604047,9879.399428367573,1637.860907587713,0.8455217807275562,0.896058536781616,6.392417,4.475587069871879,0.0,0.0751066949632432,4.6086920844184025
2821,15552098.0,6243307.5,208586820000.0,30570580000.0,1440.0,1440.0,27257.09,7618.0,0.0,1440.0,219.6043,1440.0,2530.1787,1440.0,391.94412,219.70607,1.0,2.0,10800.068055555555,4335.630208333333,28210486.61759065,2431880.1188096814,5311.354499333541,1559.4486586001096,0.4917889842926851,0.3596821185540129,2.491003,2.523788711658067,0.0,0.1525029818216959,1.7570685492621527
53661,14682115.0,1862728.4,216543130000.0,3049168100.0,1440.0,1440.0,34308.05,5005.0,0.0,1440.0,80.747314,1440.0,5571.595,1440.0,392.5124,219.9036,1.0,2.0,10195.913194444443,1293.5613715277775,46420530.30913143,444176.8447578412,6813.261356291231,666.4659366823192,0.6682345393057725,0.5152178716462296,7.882048,3.3648825884417874,0.0,0.0560745239257812,3.869163343641493
59747,13948305.0,3503364.2,245802060000.0,15668623000.0,1440.0,1440.0,38209.58,8540.0,0.0,1440.0,131.14595,1440.0,5054.7256,1440.0,391.97604,219.78873,1.0,18.0,9686.322916666666,2432.8918402777776,76871021.7762804,4962025.737954252,8767.612090887713,2227.5604903019475,0.9051538097911042,0.9156019406302968,3.981403,3.9446938176359065,0.0,0.0910735766092936,3.510226101345486
17911,13647020.0,1416852.8,154583910000.0,1952069500.0,1440.0,1440.0,21564.29,2025.0,0.0,1440.0,65.178535,1440.0,2963.639,1440.0,392.14957,219.86519,0.0,2.0,9477.097222222224,983.9255208333332,17534564.596103385,387494.391675076,4187.429354162693,622.4904751681555,0.4418472509012427,0.6326601576925647,9.631926,2.275410767332356,0.0,0.0452628718482123,2.0580825805664062
56419,13621866.0,2925446.5,162347960000.0,6785724000.0,1440.0,1440.0,23856.53,3893.0,0.0,1440.0,112.505974,1440.0,2759.4163,1440.0,392.09897,219.90517,1.0,6.0,9459.629166666668,2031.5600694444445,23257053.718038183,585071.9509055507,4822.55676151543,764.8999613711264,0.5098039972337284,0.3765086609426705,4.6563373,2.5219307096032217,0.0,0.0781291484832763,1.9162612915039063
